﻿Overview
,Survey Name,Questions,Number of Launches,Responses
2025-04-28 08:41:37,WIHR Director Candidate 4/24/25,13,1,23

Launch History
#,Collected from,Topic,Meeting/Webinar ID,Actual Start Time,Responses
1,Meeting,WIHR 2.0 - WIHR Director Candidate: Sailor,99785796994,2025-04-24 11:28:32,12
2,Public link,N/A,N/A,N/A,11

Survey Details
#,User ID,User Name,Email Address,Submitted Date and Time,Collected from,Topic,Meeting/Webinar ID,The candidate outlined a clear and compelling vision for the future of WIHR. ,The candidate demonstrated an understanding of the local and national Humanities landscape.,The candidate was prepared and organized.,The presentation was concise and well-structured.,The candidate offered concrete examples and strategies for WIHR.,The candidate answered questions effectively,"Overall, I would rate this presentation as:",What parts of this vision resonate with you and would best move WIHR forward? (please explain) ,What parts of this vision do you find unattainable or disagree with? (please explain),Do you have any ideas about possible WIHR activities not covered in the talk but you would like to pass along?,Would you recommend this candidate,Detail reservations (if any),Additional Comments
1,Anonymous,Anonymous,Anonymous,2025-04-24 12:52:39,Meeting,WIHR 2.0 - WIHR Director Candidate: Sailor,99785796994,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,Collaboration and support for research,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Anonymous,Anonymous,Anonymous,2025-04-24 13:13:21,Meeting,WIHR 2.0 - WIHR Director Candidate: Sailor,99785796994,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"How WIHR can support research initiatives, promote and engage through digital and public humanities, and support interdisciplinary scholarship across WY and the world. ",,,Yes,,"This candidate possesses a tremendous amount of experience, knowledge, and passion for interdisciplinary scholarship. She has extensive connections across the humanities disciplines globally. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Anonymous,Anonymous,Anonymous,2025-04-24 12:56:20,Meeting,WIHR 2.0 - WIHR Director Candidate: Sailor,99785796994,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Very Good,"I think this candidate has more experience working with Humanities initiatives on a state, national, and international level than the other. I think their interest in finding sources is compelling. ",N/A,N/A,Yes,,"The first candidate provided more concrete examples of programming, which as a faculty member I appreciated, but I think that the second is better qualified in terms of experience to lead WIHR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Anonymous,Anonymous,Anonymous,2025-04-24 13:00:40,Meeting,WIHR 2.0 - WIHR Director Candidate: Sailor,99785796994,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Average,The emphasis on collaboration seemed to be a core value that should indeed drive WIHR.,"The repeated focus on faculty support was appreciated, but WIHR has a broader, state-wide vision. By contrast, Dr. Morris's presentation covered specifics at all levels (state, Univ., international)",N/A,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Anonymous,Anonymous,Anonymous,2025-04-24 13:04:15,Meeting,WIHR 2.0 - WIHR Director Candidate: Sailor,99785796994,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Excellent,Strengthening relationships within the state to better advocate for the value of humanities research; expanding external funding; "scaled programming" that includes a variety and range of activities,,,Yes,,"The candidate demonstrated her in-depth knowledge of state, national, and international contexts; her experience and wisdom would allow her to hit the ground running.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Anonymous,Anonymous,Anonymous,2025-04-24 12:57:47,Meeting,WIHR 2.0 - WIHR Director Candidate: Sailor,99785796994,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"Dr. Sailor's understanding and expressed support for faculty at their various stages is critical. She acknowledges funding, but more importantly mentorship and community- and the same for students.",NA,No,Yes,,I value Dr. Sailor's array of experience and know first hand she pays gained knowledge and skill set forward.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Anonymous,Anonymous,Anonymous,2025-04-24 13:01:44,Meeting,WIHR 2.0 - WIHR Director Candidate: Sailor,99785796994,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,Rachel was realistic about what WIHR is and can become.  This perspective comes from years of engagement with the interdisciplinary humanities at UW and with colleagues from around the nation/world.,This is no criticism of her but a challenge to the humanities at UW:  how to interact with larger humanities communities in WY and the US without enlisting in the academic version of The Hunger Games.,"I suspect that Rachel is thinking of this but didn't have time to mention:  international fellowships.  Also, the possibility of humanities internships related to (public) research projects.",Yes,,"Rachel is a superior candidate, rooted in experience at UW/WIHR.  She has a strong research record and has created a network of colleagues worldwide.  She is the creative director we need.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Anonymous,Anonymous,Anonymous,2025-04-24 13:07:10,Meeting,WIHR 2.0 - WIHR Director Candidate: Sailor,99785796994,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Average,I could not find the thread that would connect this vision. Overall left underwhelmed by her presentation. ,"It is all attainable, but not visionary. I believe Dr. Morris presented a much more compelling vision & plan and for these reasons, Dr. Sailor's vision felt weak and uninspiring. ","I was unclear on how WIHR would really work to serve the state beyond the university. As a land-grant school, that needs to be a part of our vision in all elements of our work.  ",With reservation,"I do not know either candidate personally or professionally, but have worked with WIRH. I did not get the sense that Dr. Sailor would be the person to lead WIRH in this moment. Her vision was narrow. ","WIRH should not simply be research generating, but balance with showcasing the societal impacts of this work to wide audiences. Appreciating humanities research by the public should be a goal too. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Anonymous,Anonymous,Anonymous,2025-04-24 12:58:39,Meeting,WIHR 2.0 - WIHR Director Candidate: Sailor,99785796994,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very Good,"I have a background in philanthropy and Rachel's take on an increase in donor giving and fundraising opportunities are spot on. She's focused on diversified funding streams and sustainability, VIP.","I think it's a strange time to be ambitious, so growth may not be possible with the uncertainty of the new admin. I do think that Rachel is capable of keeping the program afloat/weathering this storm.",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Anonymous,Anonymous,Anonymous,2025-04-24 12:55:07,Meeting,WIHR 2.0 - WIHR Director Candidate: Sailor,99785796994,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Very Good,I liked their ideas for supporting faculty and student projects and research. I liked that there was forethought in considering funding in the current climate. ,There was not anything that I specifically disagreed with she had good ideas all the way around. ,Not sure. ,Yes,,None ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Anonymous,Anonymous,Anonymous,2025-04-24 13:06:46,Meeting,WIHR 2.0 - WIHR Director Candidate: Sailor,99785796994,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Very Good,"Very standardized goals, however, Dr. Sailor had some great ideas in elevating the profile of scholars such as awards and recognition and building stronger partnerships with WY cultural organizations.","While Dr. Sailor mentioned that the WIHR is the place to have discussion about the effects and impacts of anti-DEI state and federal legislation, there was no suggestions on how WIHR can participate.","Offer funding for faculty to teach study abroad, launch a WIHR publication journal easy reader magazine, WIHR is a high brow intellectual organ., we need to make WIHR accessible to diff audiences.",Yes,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Anonymous,Anonymous,Anonymous,2025-04-24 12:42:52,Meeting,WIHR 2.0 - WIHR Director Candidate: Sailor,99785796994,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Good,"Rachel's adaptable approach to the changing humanities landscape is commendable, especially in regards to addressing funding challenges.",,"As Rachel pointed out, the Libraries is an incredible resource for humanities, particularly the DSC and digital collections. We would like to have a more solid collab/partnership with WIHR. ",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
